doc	0	1	2	3	4	5	6
1	0.0002541978387353484	0.0002555769194822626	0.00025503579991017345	0.9984698499185525	0.0002545427125786767	0.00025535782351794486	0.0002554389872232499
2	0.0003139739856650297	0.0003144146197873999	0.0003144856810777421	0.000314794117554284	0.00031440578757236564	0.9981133428503364	0.000314582958006767
3	0.0007002930548542524	0.000703352610696362	0.0007028431007944538	0.0007034704235541052	0.0007017274154406776	0.0007033374098765683	0.9957849759847835
4	0.0007402091323889004	0.6772862539477865	0.0007414552146363725	0.3189972295388208	0.0007426467877228347	0.0007440967390938534	0.0007481086395503849
5	0.0008163397446838762	0.9950916241081527	0.0008188457425052003	0.0008209230056102232	0.0008167458850555797	0.0008176391108031553	0.0008178824031892654
6	0.0005411331474212529	0.0005431309310387862	0.9967457075388375	0.0005425571277178792	0.0005421724599604605	0.0005420045361690252	0.0005432942588552356
7	0.0006523299465605254	0.9960693868725733	0.0006558827668530844	0.000654298663145194	0.0006527800956694849	0.0006575423345079816	0.0006577793206904145
8	0.0007178949248399494	0.2241330018594096	0.06815577579492908	0.24749655581316526	0.037453284436121906	0.0007213438746228495	0.42132214329691137
9	0.001221027009034941	0.7133678402191055	0.00122461415992012	0.2805143811730569	0.001222515431858129	0.0012251979012636775	0.0012244241057608126
10	0.00044924493737238545	0.9972970221381665	0.0004504070028399978	0.00045080846364298487	0.00045083048916949	0.0004504365505788115	0.0004512504182296457
11	0.00034176835155557886	0.9608027775669175	0.0003431013158371483	0.00034258741689525854	0.00034205557195420016	0.0003422115488093319	0.037485498228031024
12	0.0004960424863103073	0.5180890455796534	0.36817477910139607	0.0004977808532926807	0.1117482832828239	0.000496931683933714	0.0004971370125899791
13	0.0003739799507619272	0.9402957441753826	0.00037554185618449327	0.0003752383165855201	0.00037667985264452783	0.00037538975020811737	0.05782742609823284
14	0.00041528718948319717	0.00041628275171217165	0.9975036051793714	0.00041611252644591096	0.0004160553845078768	0.0004161703878769372	0.00041648658060251044
15	0.0021009000376927254	0.8538011589479155	0.002111201862646963	0.0021088380573598057	0.0021079502542153236	0.0021056296083782726	0.13566432123179145
16	0.00040016520257041147	0.0004013786327157782	0.0004013962586042553	0.9975936637811943	0.0004010260415929702	0.0004010410386394422	0.0004013290446828763
17	0.0004995088467226317	0.0005007305771342399	0.4249354356525178	0.5725592942938003	0.000502732751504221	0.0005008046521545857	0.0005014932261660701
18	0.0007326106246767693	0.0007357195043471235	0.000734228438929745	0.9955911067726211	0.0007376381823434253	0.0007333953741164866	0.0007353011029654582
19	0.0002862941398698152	0.5450651720179225	0.42631109545152873	0.00028733539467440064	0.027475092879774052	0.00028752432107488445	0.00028748579515566503
20	0.0005252174427690882	0.0005275862675547886	0.0005270282835163327	0.000526163808794683	0.0005256851976575565	0.0005260291054882406	0.9968422898942193
21	0.0011074442246356926	0.8013001094774506	0.1931469403708532	0.0011125572048114366	0.0011088319501160954	0.0011127445333813041	0.0011113722387518508
22	0.0005431922256660478	0.18563185000567728	0.0005452133211621529	0.0005460771495065644	0.0005445978836992795	0.000546444126133565	0.8116426252881551
23	0.0011521006960053403	0.8408360138957425	0.0011604521239774862	0.1533844902872177	0.0011545422525741748	0.0011576313719948398	0.0011547693724878862
24	0.0003701057869747676	0.39876639529706737	0.18147164715940617	0.04934591166438124	0.22685416972128167	0.0003710423946750156	0.14282072797621373
25	0.00042017636752048147	0.9974724679966536	0.00042165489390961743	0.0004217196376815442	0.0004218208019515745	0.00042123432815461816	0.00042092597412885966
26	0.0009523994521852016	0.31002883386083196	0.6852002780652169	0.0009561957610730087	0.0009532859894805446	0.0009537765378633852	0.0009552303333490141
27	0.0003990468966555846	0.8262859154177556	0.00039987833209153667	0.00039982627613053705	0.0003995675417792812	0.0003995975886424867	0.17171616794694491
28	0.0010822762109945513	0.8855188451143077	0.001084418575270035	0.0010912544390342292	0.0010837929183942403	0.0010856056038621486	0.10905380713813705
29	0.0006435143802098014	0.6765854761502235	0.0006479019933712837	0.32018713279963623	0.0006450181358404574	0.0006449776187155136	0.000645978922003256
30	0.0003739827222977026	0.18541210301238498	0.0003754180772156438	0.304205313685126	0.00037626479633653856	0.07317594162963487	0.43608097607700425
31	0.00024759151716592567	0.13714761757092384	0.00024887420240140103	0.0002486336626847709	0.0002478965247775795	0.03835961549849715	0.8234997710235493
32	0.0003527383676953044	0.0003536900952003449	0.9978781749514305	0.00035479322898234237	0.0003531986896324373	0.0003540865091006291	0.00035331815795846167
33	0.00036537263489694566	0.27474015186651096	0.05742845334652153	0.6026639188620795	0.06406875764312146	0.0003669267676567751	0.0003664188792125792
34	0.0004623299417261756	0.39802871570347365	0.00046340888193101683	0.0004635017788826949	0.0004634208760181538	0.00046343964020681427	0.5996551831777615
35	0.0013106371144702323	0.8479941933983091	0.0013200618357607208	0.14543783464422416	0.001311784039927961	0.0013125310134316857	0.0013129579538761647
36	0.0016051804922246073	0.7111956950731609	0.001613020847199247	0.26123093029989075	0.0016083455983635173	0.0016101440705760762	0.02113668361858471
37	0.0006131335880472373	0.7820307100323187	0.0006148832031917087	0.0006151193638513677	0.0006141747153194951	0.1115513888345041	0.10396059026276724
38	0.0007107427809257953	0.9957266033226189	0.000712633280425593	0.0007119064956953675	0.0007146409980265722	0.0007113885090324196	0.0007120846132752901
39	0.00019814082521706484	0.0001989622010812621	0.00019862889266634537	0.00019886356993995344	0.00019852409563049584	0.0001988123632917613	0.998808068052173
