doc	0	1	2	3	4	5	6	7	8	9	10
1	0.0001617599498712436	0.00016177235364736334	0.0001617737784772916	0.9983822764831204	0.00016176691957062295	0.00016177983920272334	0.00016177936816814834	0.0001617788776380795	0.00016177576056441057	0.00016177671986825317	0.00016175994987139192
2	0.0001998002007218729	0.000199806207226648	0.0001998087070163382	0.0001998177656762125	0.00019980441026610309	0.998001931266077	0.00019980759834798168	0.00019980724219667922	0.00019980994732858134	0.00019980645442061913	0.00019980020072199212
3	0.00044563280429295917	0.0004456929344445986	0.00044567339370937917	0.00044567904971547874	0.00044563866692109554	0.0004456895448469121	0.9955433170618414	0.00044567587361424977	0.00044567814930033807	0.0004456897170201714	0.00044563280429334124
4	0.0004710315657849176	0.0004710602606839016	0.00047104784054831036	0.0004711028028108723	0.0004710557252042304	0.0004710858696001433	0.008398013385525932	0.23526202031828808	0.752571473270095	0.0004710773956722562	0.0004710315657862172
5	0.0005194805242615401	0.9948049529393116	0.0005195227862176157	0.0005195152705184241	0.000519490299800286	0.0005194957222343378	0.0005195002587826078	0.000519521740256322	0.0005195116976525366	0.0005195282367031977	0.0005194805242614623
6	0.0003443526199097081	0.0003443737472586828	0.9965562771986538	0.00034438524890646044	0.0003443579089069819	0.0003443647198072574	0.0003443814699660622	0.0003443834552784343	0.0003443875139527833	0.0003443834974498739	0.000344352619909976
7	0.00041511000881487364	0.0004151381670410461	0.0004151575844902022	0.0004151836294957057	0.00041512094876112733	0.000415177269962504	0.00041515423478724595	0.9958485538682573	0.00041515344102410225	0.000415140838550491	0.00041511000881531014
8	0.00045682961050161753	0.0004568649970703456	0.12892983046477105	0.3240266112263337	0.0004568767416193304	0.00045687463870837803	0.00045687679199850914	0.3858739726986201	0.1579715505395846	0.00045688268029029706	0.00045682961050222344
9	0.0007770007880309358	0.0007771174060329771	0.0007770655884592565	0.0854214678029009	0.0007770517327708233	0.0007770267198872746	0.0007770455049772794	0.90758507654108	0.0007770817114510926	0.0007770654163775957	0.0007770007880319951
10	0.0002858776484496053	0.00028590257956854814	0.0002858988019739448	0.00028590417562058396	0.0002858900664207155	0.0002858944722491212	0.00028591469146504306	0.17400425551133028	0.823422682752806	0.0002859016516665077	0.0002858776484496203
11	0.00021748586506439816	0.9978250531773883	0.00021750508824995162	0.00021749766569166234	0.0002174888781393936	0.0002174910976498745	0.00021749868443849999	0.00021749837281286215	0.00021749723908040856	0.00021749806641987977	0.0002174858650645368
12	0.0003156565696284864	0.006664993466062683	0.00031567783265911293	0.0003156758924528285	0.000315694724318929	0.0003156654137388002	0.0003156718832641768	0.0003156861489925176	0.7364533999978302	0.2543562215014234	0.00031565656962881
13	0.0002379819177417762	0.4413744233421025	0.00023800675775342817	0.00023800719483547502	0.016050329123519023	0.0002380009925242295	0.0696679924080161	0.19805029893628756	0.2734289693506034	0.00023800805887455123	0.00023798191774197723
14	0.0002642706158224522	0.00026429237744634806	0.00026430156795562555	0.0002643135061575208	0.00026427931772025735	0.0002642849748791908	0.0002642929629075251	0.0002642844492486765	0.9973571216091262	0.000264288002913553	0.00026427061582267507
15	0.0013368984238534434	0.2760395304315131	0.0013370266922572483	0.0013369956250747965	0.0013369751961972295	0.0013369797971627068	0.0013371739825981722	0.4314447465978416	0.2818197793449285	0.0013369954847186026	0.0013368984238546178
