doc	0	1	2	3	4	5
1	0.0003012257708159391	0.07578072405296768	0.0002992835586551728	0.9230202764954677	0.0002980600266817929	0.0003004300954118544
2	0.0003678831157905372	0.0003675453011218528	0.0003677680701412701	0.0003686012118792577	0.00036739250977133714	0.9981608097912957
3	0.9958752956023457	0.0008256105844877043	0.0008251767487455648	0.0008266013429223462	0.0008207855648351238	0.0008265301566635362
4	0.008556513892544738	0.615152394746275	0.0008675073548564176	0.3736802267970191	0.0008691753037124977	0.0008741819055921068
5	0.0009572017215620625	0.9952105648526426	0.0009596925524880009	0.0009629722352616314	0.0009536026897157369	0.000955965948329798
6	0.0006368697687564208	0.0006373098184270694	0.9968214023148078	0.0006358829013089585	0.0006348621465446559	0.0006336730501552345
7	0.053817663218155024	0.9210017010970394	0.0007705395044231287	0.0007667266018819141	0.0007627842607677153	0.022880585317732842
8	0.16945397259513734	0.028533609992746106	0.05933517284000232	0.7409825991570543	0.0008514855859209229	0.0008431598291390686
9	0.0014335789055634144	0.7381046719325027	0.0014349374297530685	0.25616799106706517	0.0014300341077495397	0.0014287865573660995
10	0.0005295072102222501	0.9973572374879633	0.0005276115900713574	0.0005293962284209598	0.0005282911507946333	0.0005279563325275155
11	0.08154006703913763	0.9168568475393134	0.00040289908266190387	0.00040085716145144527	0.0003994676338176167	0.00039986154361783185
12	0.0005813573227960176	0.5374169650323735	0.3198624761912587	0.00058435979947851	0.14097382812092363	0.0005810135331697464
13	0.0609554591784816	0.9372825090443851	0.00044021448102271024	0.00044015480031562725	0.00044244023065391643	0.00043922226514094166
14	0.0004875433781082365	0.00048725144562498094	0.9975646046859661	0.00048732927910913305	0.0004864722159375004	0.00048679899525388824
15	0.11101964529676403	0.8790896666187038	0.0024807833200524727	0.0024730518684043315	0.0024756646927177285	0.002461188203357827
16	0.0004702097376992638	0.00047026574415895325	0.000470722979510029	0.9976505464043354	0.0004690391582028889	0.0004692159760935605
17	0.0005880333824146665	0.0005865366182895701	0.42160729021975163	0.5760394276866273	0.0005928336004745256	0.0005858784924425153
18	0.0008580219972037472	0.0008643029240847035	0.0008593245515125748	0.9956915588386859	0.0008696418190280943	0.000857149869485031
19	0.0003369534509169601	0.5421057551790132	0.43113292484144466	0.00033739909101273164	0.02574968950033607	0.0003372779372764435
20	0.9969178427892299	0.0006194123023899536	0.000617822531978262	0.0006161014608412926	0.0006139392055238166	0.000614881710036889
21	0.001302498030381109	0.8247467039367259	0.17004448344468423	0.0013061816102717264	0.001295541866830586	0.0013045911111064044
22	0.82281783380474	0.17461913558732448	0.000639869608515881	0.0006427231273500706	0.0006377972693331662	0.0006426406027365948
23	0.001350511103900769	0.8202552549845664	0.001360118770571	0.17432791602520656	0.0013508014658151295	0.0013553976499401418
24	0.00043458539752784184	0.6507656264549668	0.00043650361213898385	0.0004370479893124524	0.34749309935055717	0.000433137195496783
25	0.0004923999347254716	0.9975301276493276	0.0004950962042131135	0.0004951789345385985	0.0004945135604819644	0.0004926837167132804
26	0.0011194619306036473	0.28386550875836775	0.711664162120146	0.0011215928781357432	0.001113975988068717	0.0011152983246781854
27	0.5021893338471279	0.495938609904466	0.00046917696048511307	0.0004684832813206064	0.0004671261096216812	0.0004672698969788796
28	0.11388985808768019	0.8359847358399545	0.0012695723171026923	0.04632013106929101	0.001266709641854299	0.0012689930441171955
29	0.0007547997611639818	0.4409322781046987	0.008191089340805405	0.5486122845600411	0.0007553215296969612	0.0007542267035939102
30	0.2982234612117237	0.00044173880946935326	0.0004401878262372212	0.7000100491551015	0.0004425641771318238	0.0004419988203364366
31	0.661875663281181	0.00029215502234540515	0.00029168865872973115	0.3369584259527433	0.0002904292832313019	0.0002916378017690442
32	0.00041313922354257	0.0004143276173742118	0.9979291728912131	0.0004159450228174374	0.00041288724532718133	0.0004145279997255104
33	0.0004294499065392854	0.23834766260201753	0.07688001862269499	0.6249459796948016	0.05896474086465975	0.0004321483092868767
34	0.17436312477655172	0.8234675037087728	0.0005425459419118829	0.000542499718995953	0.0005424607093416945	0.0005418651444260158
35	0.0015346438851631414	0.8214098411340064	0.001547866215143179	0.17243923662155042	0.0015362807519081814	0.0015321313922288158
36	0.022239797707088376	0.5459703277970489	0.0018971098635964486	0.4261269349766853	0.0018802669904328189	0.0018855626651481197
37	0.11507550422581014	0.7504467572084607	0.0007210415670643073	0.05798360545033453	0.0007181086508619674	0.07505498289746844
38	0.0008326656109683202	0.9958303963055842	0.0008348017232330597	0.0008328382039588044	0.0008386027092558691	0.0008306954469996676
39	0.9988362090592893	0.00023341328184351047	0.00023256389205458295	0.0002331107101456682	0.00023234711498013705	0.00023235594168672893
40	0.0010038961919307523	0.6293886685910505	0.08323488800380285	0.24272706835524782	0.0010138590283097215	0.04263161982965813
41	0.00045165946361839436	0.8959611312314698	0.10223132023681311	0.0004523262353252211	0.0004509338152871701	0.0004526290174862768
42	0.9982421483481666	0.00035182885791684335	0.00035294764222340157	0.0003514727259599908	0.0003505019506419889	0.000351100475091296
43	0.00507883580987239	0.9932352904228654	0.0004202185427268156	0.00042093321454650623	0.0004217571545935116	0.0004229648553952261
44	0.002092355079004051	0.8318995790837433	0.0020770893541596303	0.1597830777500441	0.0020658603304500034	0.002082038402598929
45	0.0006846382557976603	0.9759090881955846	0.000686609868456215	0.0006861111428665624	0.021348321813324623	0.0006852307239703756
46	0.0010210709118540294	0.001020389729761107	0.0010153785255684335	0.994925006360226	0.001011182512044074	0.0010069719605463338
47	0.2956762023891599	0.7029414813074272	0.0003468037983671236	0.0003465195790793018	0.00034343483125673753	0.00034555809470973424
48	0.0007876551816341968	0.3264196014021584	0.0007888479646539035	0.0007904569164443948	0.6704284844479493	0.0007849540871597772
49	0.0008349817605977078	0.0008369298467121361	0.000836485491500851	0.0008370811092833872	0.9958189613834956	0.0008355604084103781
