doc	0	1	2	3	4	5	6	7	8
1	0.00019770667646721665	0.00019780149587109839	0.00019780555825242216	0.9984175277068881	0.00019775685732888228	0.00019788321503225027	0.00019784707497478687	0.00019784605191066395	0.00019782536327460508
2	0.0002442002876859864	0.0002442497299372392	0.00024426441344346073	0.0002443240915812711	0.00024423162628678445	0.9980459467008604	0.0002442596504306102	0.00024425139956917036	0.0002442721002050658
3	0.0005446625913175576	0.0005451239381175898	0.0005450372319630684	0.000545012054335358	0.0005446991155586416	0.000545064161379937	0.9956403487732569	0.0005450236463262522	0.0005450284877446622
4	0.0005757056405383256	0.41952293875600805	0.0005758461854701998	0.0005762379464725332	0.0005760092966996745	0.1030471060423589	0.0005766605121802086	0.0005761873619862263	0.47397330825828576
5	0.0006349208534811055	0.9949191498562325	0.0006352452730375607	0.0006351694694947712	0.0006349876796796107	0.000635050604490565	0.0006350736258079497	0.0006352239588844279	0.0006351786788914892
6	0.0004208755506082514	0.000421038008433444	0.996631772571124	0.00042110638557832413	0.00042090563001711867	0.0004209704754897479	0.00042109040966091743	0.0004211018943358999	0.0004211390747521523
7	0.0005073569470244286	0.000507646393018694	0.0005078212816621082	0.0005081421939979242	0.0005074404668893474	0.0005079229597734174	0.0005078143257650215	0.995938164793854	0.0005076906380151746
8	0.0005583476809130654	0.0005586381792157283	0.1515460997536206	0.34924000940134603	0.0005586205840641111	0.000558827635598289	0.000558767919747038	0.495861875301238	0.0005588135442570622
9	0.0009496682399047295	0.04259866380946583	0.0009502000310550497	0.10829461935850232	0.000950144526638658	0.0009499049153812053	0.0009501100278222342	0.8434063141169384	0.000950374974291522
10	0.0003494062097624562	0.0003496127367995293	0.0003495657000052814	0.00034961461242502876	0.00034949718364815494	0.00034952933326681454	0.00034971295484280873	0.0003497232073784178	0.9972033380618714
11	0.00026581613511600204	0.9978728676466809	0.0002659410352045004	0.00026591972964958797	0.0002658449038744781	0.00026585847750282623	0.0002659476914835123	0.00026590134102704864	0.0002659030394611982
12	0.0003858026748246941	0.0003862258147087403	0.00038596904397943474	0.0003859867348007433	0.0003861791798693727	0.00038587751089437744	0.0003859510588241223	0.27520867985287684	0.7220893281292217
13	0.0002908669972615394	0.5372738588790187	0.00029106233792556044	0.0002910454159904723	0.00029114163614193543	0.0002910226659925213	0.08560380573166568	0.12858579419897015	0.24708140213703356
14	0.0003229975477629925	0.0003231542213276758	0.00032322326341151746	0.000323314075203769	0.00032306372317557715	0.00032310323167280126	0.0003231697759906459	0.0003231034364386373	0.9974148707250164
15	0.0016339880779639006	0.8399480660106134	0.0016349519909055281	0.001634614269597859	0.0016348561867034136	0.001634534176056136	0.14860836362530466	0.0016352628627886512	0.001635362800066247
16	0.0003112357817669883	0.00031140691411580336	0.16593766377100422	0.0003114534148228496	0.0003114548734000639	0.0003114795821432435	0.00031142421606549794	0.0003114416642667115	0.8318824397824147
17	0.0003885005705355684	0.0003886380612942751	0.3152780205196526	0.0003887310724519486	0.0003886128894150894	0.0003887991678007154	0.00038877338473623465	0.0003886514660801166	0.6820012728680335
18	0.0005698008461559063	0.0005700495386159437	0.0005702739172965825	0.03553576259416231	0.000570016226527781	0.0005700073417920918	0.0005699697075040857	0.24348448175532028	0.717559638072625
19	0.00022266767842498894	0.0002228043703525192	0.00022280429816192815	0.00022280042195856154	0.00022282662921158176	0.0002227856548826898	0.00022281418760119605	0.00022286007167980087	0.9982176366877267
20	0.0004084968742745665	0.00040881981506201874	0.00040871594000829704	0.0004086921670233779	0.0004085684603845652	0.0004085915425986947	0.9967306580530068	0.0004087028886209776	0.0004087542590205967
21	0.0008613269331535769	0.0008621112518383994	0.0008616975054696479	0.0008619847673860241	0.00086150676147666	0.0008618866849338304	0.000861995830593604	0.0008619222170883316	0.9931055680480599
22	0.0004224759011574081	0.5573940495881078	0.0004226189522208521	0.00042275755745780627	0.0004225378286660619	0.00042298038256258046	0.43964719065440305	0.00042265484749253916	0.0004227342879319625
23	0.0008960579563300928	0.33147217893568826	0.0008967366563186431	0.0008965371151682367	0.00089637149600524	0.0008964773213365456	0.0008962955703669889	0.127539943723148	0.535609401225638
