doc	0	1	2	3	4	5	6	7	8	9	10	11
1	0.0001482799527207235	0.00014828444899495368	0.00014828315071826188	0.9983688824127632	0.0001482818747028359	0.00014828633844425572	0.00014827995272075122	0.00014828500251682	0.00014828460766047073	0.00014828407107423877	0.0001482822986951901	0.00014828588898835695
2	0.00018315018328378778	0.0001831523445579806	0.0001831523450114577	0.00018315550000477562	0.00018315178931254127	0.9979853220152535	0.00018315018328379808	0.00018315302109573283	0.0001831535567140241	0.00018315252184575095	0.0001831527923983292	0.00018315374723840028
3	0.0004084967328572177	0.00040851768681771783	0.00040851723706165606	0.00040851051101193183	0.00040849918544735874	0.00040851060046180024	0.0004084967328573845	0.0004085131721458081	0.00040851064745828187	0.00040851703789876253	0.00040850308304501255	0.9955064073729372
4	0.00043177893053960903	0.5637530039833812	0.00043179298507707066	0.07974296841100133	0.00043180201882668474	0.11326743327317335	0.00043177893053975654	0.0004317985878074897	0.00043180235405717546	0.23978223315529576	0.00043179492779266913	0.0004318124425079358
5	0.00047619047686963745	0.9947618097339174	0.0004762010908412265	0.00047620601288294033	0.00047619376561034815	0.0004761964592590003	0.00047619047686964846	0.00047620583367133346	0.00047620054809544585	0.0004762111076908432	0.00047619565168059605	0.0004761988426115738
6	0.00031565656636565114	0.00031567129681826886	0.00031566442942818285	0.00031566755291078996	0.0003156582961138943	0.0003156607495203774	0.0003156565663657203	0.00031567030461592254	0.0003156719020643539	0.09397574117392998	0.0003156638935042515	0.9028676172683625
7	0.0003805175045222858	0.0003805283819496518	0.00038052197352818795	0.0003805274403308056	0.0003805202097929461	0.0003805372099656461	0.00038051750452231	0.9958141967060622	0.00038053623784992303	0.00038053024645289197	0.0003805210522793705	0.0003805455327439035
8	0.00041876047036116046	0.00041877843261591165	0.00041878405077450256	0.0004187799754986169	0.0004187802037360269	0.00041878396047745857	0.00041876047036121055	0.11743724201802534	0.14910328623715902	0.0004187831287484631	0.0004187729643316279	0.7296904880879107
9	0.0007122507138532306	0.0007122738834624744	0.0007122694429406032	0.0007123187122849993	0.0007122760596077065	0.000712263105830715	0.000712250713853366	0.9921649828061148	0.0007122852982393862	0.0007122722240804656	0.0007122819455456983	0.0007122750941865592
10	0.0002620545078850582	0.0002620624387253253	0.00026206245597350936	0.0002620649577329955	0.00026205977787640373	0.00026206202616624135	0.0002620545078850826	0.00026206884823068617	0.9971173218835172	0.00026206356076131985	0.00026205911168631133	0.00026206592355986966
11	0.00019936204170231645	0.9978069813544347	0.00019936688015434389	0.00019936698333484007	0.0001993631782710363	0.0001993639329546366	0.00019936204170233198	0.00019936715925841653	0.00019936624538306465	0.00019936624553040504	0.0001993659104565596	0.00019936802681745164
12	0.00028935185243130477	0.00028938489097182996	0.00028935875003503324	0.0002893625284544765	0.00028936975488419285	0.00028935607037383827	0.0002893518524313708	0.00028936356266975215	0.8712836930407222	0.125822686750086	0.0002893606073788321	0.0002893603395611841
13	0.0002181500879089558	0.4140155033016826	0.00021815417332549043	0.00021815879469246375	0.0002181635333791495	0.00021815690527026194	0.00021815008790901762	0.1690746305186918	0.2711219401540555	0.00021815894854765728	0.00021815494862505836	0.14404267854591185
14	0.0002422480624016616	0.00024225484532101017	0.00024225089656949704	0.00024225731867989368	0.00024225162504420178	0.00024225437001756424	0.00024224806240166554	0.00024225532220893207	0.9973352129509047	0.00024225451557140007	0.0002422526884477247	0.0002422593424317243
15	0.0012254902000852028	0.5569698799261533	0.0012255120107310196	0.0012255114374849889	0.0012255238760256212	0.0012255170109598055	0.00122549020008579	0.0012255659251209862	0.25403007705346203	0.0012255311520918395	0.001225498551855796	0.17797040265594355
16	0.00023342670442897493	0.00023343297490185407	0.00023343147276944426	0.12736581623302826	0.00023343626234169528	0.00023343694879044224	0.00023342670442898962	0.00023343531358684745	0.00023343522529167674	0.8702998587426407	0.00023342885521971204	0.00023343456257147256
17	0.00029137529196302523	0.0002913837994369924	0.0002913795486350666	0.00029138942425259966	0.0002913798974057698	0.0002913918308111566	0.00029137529196305613	0.0002913837724506436	0.12389518566945051	0.8731909787691364	0.0002913826758763014	0.0002913940286183387
18	0.0004273504279221726	0.00042735881527940315	0.0004273621849999391	0.0004273669590281785	0.0004273547069940425	0.00042735528361726566	0.0004273504279223045	0.0004273666309618656	0.00042736023979634343	0.9952990486650508	0.0004273612799954561	0.00042736437843232656
