doc	0	1	2	3	4	5	6	7	8	9
1	0.00017793595107548583	0.00017797385476164807	0.00017796149069854834	0.9983983061426355	0.0001779494943004129	0.00017797850019765169	0.00017798401302897743	0.00017797327326747912	0.00017797044556774956	0.00017796683446653496
2	0.00021978022606663315	0.00021980250739057122	0.00021980345686714185	0.00021981840298485744	0.00021979020834150007	0.9980217997889366	0.00021980138774091323	0.0002198004773593918	0.00021980631627766906	0.0002197972280347705
3	0.000490196122021102	0.1410403877660404	0.000490291523199901	0.0004902899414405783	0.0004902096935047605	0.0004903291902921418	0.7752783434059364	0.0004903301224666618	0.0004903026899964571	0.08024931954510159
4	0.0005181347614691261	0.0005182298490237651	0.0005181957919782722	0.04380242115869859	0.0005182532142273864	0.0005183007562618084	0.0005185934151057807	0.0005182726854562383	0.0005182843610856365	0.9520513140066934
5	0.0005714286104718847	0.9948563280247886	0.0005715634773928851	0.0005715790263902549	0.0005714572651787923	0.000571479778174588	0.0005714856058188959	0.0005715739207454255	0.0005715099598202216	0.0005715943312181884
6	0.00037878789812755584	0.0003788603038417771	0.9965903703386952	0.0003788173537663765	0.0003788027796232098	0.000378826950850071	0.00037886656240857463	0.00037887447916558147	0.000378924078631061	0.00037886925489072923
7	0.00045662103841563704	0.0004567002388967699	0.0004567432084687385	0.0004567086650760949	0.00045665003331787224	0.0004567969921056013	0.00045671376298197125	0.9958895796149836	0.0004567733898452786	0.00045671305590850745
8	0.0005025126119959905	0.000502652010906394	0.15929332887659542	0.0005026058250574824	0.0005026436379741863	0.0005026533813836924	0.10354659618493227	0.7336416825405745	0.0005026909440417457	0.000502633986538502
9	0.000854700936821625	0.0008549651269871888	0.0008548834026767693	0.2866499736632266	0.0008548533419633225	0.0008547696306974266	0.0008548416977608788	0.7065111792924174	0.0008549566517976336	0.0008548762556510898
10	0.00031446543469265957	0.00031452607257708234	0.00031452425148756526	0.00031454707565720157	0.00031449301628599864	0.0003145181815724049	0.0003145631008878852	0.0003145753747415836	0.9971692582706908	0.0003145292214067511
11	0.0002392344629042887	0.9978466228448237	0.00023928782958965245	0.00023927567103600473	0.00023924403246910323	0.00023924828032689932	0.00023926850420390316	0.0002392752470740744	0.00023927206405571105	0.00023927106351672234
12	0.0003472222496884635	0.006399617621017755	0.00034727784194622086	0.00034728263025379476	0.0003473435701738655	0.00034724830017331484	0.0003472620584813515	0.00034730649433322585	0.7539964461196531	0.2371729931142788
13	0.0002617801346142924	0.40964012238500946	0.0002618540566517806	0.00026184722301723316	0.0002618820351985336	0.00026183361780628893	0.057469969006287536	0.20999570691538197	0.32132315819285245	0.0002618464331802039
14	0.00029069769323108487	0.000290775569991177	0.00029079032262263106	0.0002907571953553887	0.0002907191414063953	0.0002907420964656021	0.00029076484293447124	0.000290740093812317	0.9973832700607539	0.00029074298342711137
15	0.0014705884372888864	0.2599355682549873	0.0014709362583791431	0.0014707254647730377	0.001470753666098428	0.001470788149412607	0.0014712854918558986	0.4393156684224188	0.29045284148985984	0.0014708443649260085
16	0.00028011208326445615	0.000280190864015964	0.18956867356725973	0.13495567342055695	0.00028022329715310916	0.0002801991877724839	0.0002801809905231274	0.0002802094254218536	0.1443399958251402	0.5294545413388921
17	0.0003496503773519124	0.00034972402057856976	0.28447437960911104	0.0003497384989350578	0.0003496778198447402	0.0003497730782448623	0.00034972638916274746	0.00034969771677786324	0.07204517812747234	0.6410324543625209
18	0.0005128205394145723	0.0005129240000476715	0.0005129446752993899	0.0005130003635299507	0.0005128541803759862	0.0005128646480939007	0.0005129045425090503	0.0005129370732487932	0.0005128974462895858	0.9953838525311911
19	0.00020040081784127497	0.00020044682761328022	0.0002004467742642214	0.00020044975332726906	0.00020044905718381905	0.00020045145350049633	0.0002004450559966145	0.00020045632124403553	0.9981959791975019	0.0002004747415271231
20	0.0003676470790723651	0.00036778597710957574	0.00036772689669812897	0.0003676866307352239	0.00036767190048557356	0.0003676824026760676	0.996690604863791	0.0003677467863283711	0.0003677506381690245	0.00036769682493480773
21	0.0007751938625897632	0.0007754176370315344	0.0007753188371682975	0.0007754430918512509	0.0007752478832235731	0.0007753636916066295	0.0007753775280818922	0.000775421254963736	0.9930218785202655	0.0007753376932177517
22	0.00038022816504625404	0.7683410905245868	0.00038027490372547786	0.00038029272604797083	0.00038025797212347726	0.00038047932908147125	0.22861645208805562	0.0003802896798501327	0.0003803239819571562	0.0003803106295257107
23	0.0008064517124868607	0.1343214396202887	0.12266490695449847	0.000806686385322182	0.0008065440877447628	0.0008065794292391797	0.000806535338527242	0.1624007830496418	0.5757734328324099	0.0008066405898409331
24	0.00025906737414150346	0.0002591055802756128	0.0002591024144020517	0.00025910161002611694	0.00025914058010734247	0.0002590843457885289	0.0002590969537274176	0.0002591248515745784	0.0002591306383584701	0.9976680456515984
25	0.00029411766757013534	0.00029420558279220286	0.0002941972774127731	0.00029423857923499753	0.0002941437713600562	0.000294155069914482	0.0002941460227932282	0.9973524512249237	0.00029417443391608836	0.00029417037008235214
26	0.0006666667155638278	0.15710734682719402	0.8043391124459369	0.0006668102511598185	0.0006667479471191598	0.0006667340556077441	0.0006668446735443615	0.03388605681029653	0.0006668463353206249	0.0006668339382570657
27	0.00027932962068997385	0.9974856819445652	0.00027936599962434023	0.00027937733961908896	0.0002793588643749548	0.0002793449764288561	0.0002794426753127619	0.000279374079307666	0.00027936119230401895	0.00027936330777321796
28	0.0007575758241813615	0.19708073534173776	0.0007576993014451988	0.0007578116042085066	0.0007576561204581249	0.000757678053851239	0.000757735172471725	0.7968575152882851	0.0007577776614447398	0.0007578156319164742
29	0.0004504504884863061	0.0004505854862093752	0.00045053465483344235	0.00045058742503179975	0.0004505342378329349	0.0004505490153466321	0.0004505313080277416	0.00045059638370412836	0.0004505652999242714	0.9959450657006034
30	0.0002617801367071895	0.0002618513815115682	0.0002618820637268716	0.0002618451968306929	0.0002618455880650273	0.0931985641705646	0.2533266297515485	0.17502037804345813	0.47688338174053063	0.00026184192705663975
31	0.00017331023867085693	0.7361012929799968	0.0001733452624060113	0.0001733385187320527	0.00017332466423275182	0.00017336045120539836	0.2625119786534678	0.00017334573600137558	0.00017335449107895758	0.00017334900420778464
32	0.000246913591059534	0.0002469514259536016	0.9977775035604425	0.00024697540381060206	0.00024693292020391947	0.00024695733956141746	0.0002469337285766938	0.00024694061535477654	0.0002469486137196962	0.0002469428013172866
33	0.0002557544942571314	0.0002558010843952552	0.0002558364218880558	0.00025582920155831415	0.00025578837551544357	0.0002558799233819322	0.0002557866523015237	0.0002558033898690114	0.9976976589883167	0.0002558614685164628
34	0.00032362462857412537	0.3734958636235916	0.0003236786340163701	0.0003236945790807573	0.00032367581339770124	0.00032366737509020914	0.12442120849677715	0.00032373421854157953	0.0003237264585898648	0.4998171261723407
