doc	0	1	2	3
1	0.0005057564265609439	0.053241363628107184	0.0004674154839713278	0.9457854644613605
2	0.0005744020679730826	0.0005708420256532874	0.0005755876616294243	0.9982791682447442
3	0.9960484655270047	0.0013109438473125675	0.0013195797485701802	0.0013210108771127035
4	0.00999063388147833	0.6199955342291182	0.0013232481495464164	0.36869058373985697
5	0.0014795372498190738	0.9954406511243157	0.0015334024590214783	0.0015464091668437837
6	0.0009999882866037106	0.0009976617891648515	0.9970242630864835	0.0009780868377477767
7	0.17705613537132026	0.8204259175728599	0.0012665709105151343	0.0012513761453048179
8	0.2375269325189142	0.11155492163238667	0.04551969331700498	0.6053984525316941
9	0.0022252462757035513	0.9396946355475911	0.0022432682603072632	0.055836849916398014
10	0.0008537480634106335	0.9974905120178	0.0008157557672187587	0.0008399841515704463
11	0.34742098893793816	0.5833833027466625	0.06857651719169582	0.0006191911237035477
12	0.000889189673545116	0.9972866682538695	0.0009119404406932201	0.0009122016318921994
13	0.17206295189615467	0.8265566723707128	0.000689818236251208	0.0006905574968812692
14	0.023314050921968154	0.9751274288365285	0.0007790755805261772	0.0007794446609772622
15	0.09136889139171135	0.9009153779098831	0.003874588528990519	0.0038411421694150042
16	0.000737440129990151	0.0007390061853448947	0.0007463133254461236	0.9977772403592188
17	0.0009198351220828664	0.0009381159404050427	0.37055536336234574	0.6275866855751662
18	0.0013219295024192099	0.0014124608200804414	0.0013262547105916452	0.9959393549669088
19	0.0005617136724691572	0.9983724036762114	0.0005313685113464174	0.0005345141399731127
20	0.997083395538211	0.0009734278583019112	0.0009931686849373844	0.0009500079185497573
21	0.0020665196636389677	0.9938264287878565	0.0020203726065187643	0.002086678941985664
22	0.9536274358950295	0.001000154678999646	0.0009925677640004247	0.0443798416619704
23	0.0020953806531038696	0.8644293968061607	0.0021593080333195047	0.13131591450741598
24	0.0006667357948046585	0.9979181826814956	0.0007116927522199882	0.0007033887714797056
25	0.0007689027419125807	0.9976499118802745	0.0007983870025929518	0.0007827983752200928
26	0.0018154286782718122	0.26687003477414084	0.7295733809503714	0.0017411555972160846
27	0.83152097387069	0.15083458917452078	0.016907361439686578	0.0007370755151027996
28	0.1673245483348219	0.7909054748978139	0.001973489054038511	0.03979648771332581
29	0.001174068443375503	0.5472191089373772	0.0011760096182038108	0.45043081300104343
30	0.2563545026163915	0.2461424218592371	0.0006903340886956871	0.4968127414356758
31	0.6964039664585145	0.04974538134918132	0.00045144476162092286	0.2533992074306831
32	0.000629512537139444	0.0006362780859524555	0.9980823734296402	0.0006518359472678332
33	0.0006601689864956716	0.3791853024723655	0.0006974051317113625	0.6194571234094275
34	0.21454215180541267	0.7837870001824019	0.0008319984681907675	0.0008388495439947081
35	0.00236026865532098	0.25568573130371797	0.7395314479105572	0.0024225521304038554
36	0.03778304273819781	0.5943242758821415	0.0030118199811806495	0.36488086139847997
37	0.1763541775846629	0.6180653783742698	0.0011046581380815814	0.2044757859029857
38	0.0012757532977977597	0.9961043911641366	0.0013450504658020902	0.0012748050722636924
39	0.9989066445871905	0.00036651034296000486	0.0003610367239616562	0.00036580834588783337
40	0.0015713835684432692	0.7542274756679594	0.0015943901947617833	0.2426067505688355
41	0.000746368231537909	0.9978219756887661	0.0006987864535751401	0.0007328696261209182
42	0.9983450121537065	0.0005525889849630275	0.000555807085780901	0.0005465917755495307
43	0.006188051228230877	0.9924503584691966	0.0006747514954698441	0.0006868388071027025
44	0.1113444278668997	0.8307696331585698	0.003214042079259344	0.05467189689527101
45	0.0010684183885577069	0.996787092358564	0.0010700146490319109	0.0010744746038463997
46	0.0015774764912065975	0.2744428131331107	0.0016052417203744269	0.7223744686553083
47	0.3660473482619197	0.6328382960646065	0.0005506620274166846	0.0005636936460572596
48	0.0012255651714433607	0.9962958728178744	0.0012541220094638445	0.001224440001218461
49	0.0012896935214208097	0.9960647056316673	0.001300713889114546	0.001344886957797307
